job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,job_title_standardized,job_category,skills_list,tools_list,num_skills_required,num_tools_preferred,salary_min,salary_max,salary_avg,salary_category,city,country_code,country,region,industry_standardized,industry_category,experience_level_standardized,employment_type_standardized,company_size_standardized,posted_date_parsed,posted_year,posted_month,posted_quarter,posted_month_name
318,"Reyes, Miller and Burke",Retail,ML Engineer,"Scikit-learn, R, TensorFlow, Power BI, Azure",Mid,Internship,"West Julie, ZM",66368-81382,2024/6/22,Mid,"PyTorch, LangChain",Ml Engineer,ML Engineer,"['Scikit-learn', 'R', 'TensorFlow', 'Power BI', 'Azure']","['PyTorch', 'LangChain']",5,2,66368,81382,73875.0,Mid (70K-100K),West Julie,ZM,Unknown,Other,Retail,Retail & E-commerce,Mid,Internship,Mid,2024-06-22,2024,6,2,June
319,"Russell, Kim and Harris",Retail,AI Product Manager,"Keras, Python, Reinforcement Learning, Scikit-learn",Mid,Full-time,"South Staceyview, PY",115773-215403,2024/9/15,Startup,"KDB+, MLflow, TensorFlow",Ai Product Manager,AI Product Manager,"['Keras', 'Python', 'Reinforcement Learning', 'Scikit-learn']","['KDB+', 'MLflow', 'TensorFlow']",4,3,115773,215403,165588.0,Very High (>150K),South Staceyview,PY,Paraguay,South America,Retail,Retail & E-commerce,Mid,Full-Time,Startup,2024-09-15,2024,9,3,September
320,Miller-Holland,E-commerce,NLP Engineer,"Flask, NumPy, Keras, AWS, SQL",Entry,Contract,"Lake Nicole, SB",130032-174733,2024/2/19,Startup,LangChain,Nlp Engineer,NLP Engineer,"['Flask', 'NumPy', 'Keras', 'AWS', 'SQL']",['LangChain'],5,1,130032,174733,152382.5,Very High (>150K),Lake Nicole,SB,Solomon Islands,Oceania,E-Commerce,Retail & E-commerce,Entry,Contract,Startup,2024-02-19,2024,2,1,February
321,Anthony-Gould,Automotive,AI Researcher,"Hugging Face, Azure, NumPy, Scikit-learn, Pandas",Senior,Full-time,"Davisstad, HR",105292-172671,2024/9/22,Large,"PyTorch, Scikit-learn, FastAPI",Ai Researcher,AI Researcher,"['Hugging Face', 'Azure', 'NumPy', 'Scikit-learn', 'Pandas']","['PyTorch', 'Scikit-learn', 'FastAPI']",5,3,105292,172671,138981.5,High (100K-150K),Davisstad,HR,Croatia,Europe,Automotive,Automotive & Transportation,Senior,Full-Time,Large,2024-09-22,2024,9,3,September
322,Adams-Hill,Automotive,NLP Engineer,"Azure, R, CUDA",Senior,Full-time,"Lewisville, PW",98122-119896,2024/12/18,Large,"MLflow, PyTorch, FastAPI",Nlp Engineer,NLP Engineer,"['Azure', 'R', 'CUDA']","['MLflow', 'PyTorch', 'FastAPI']",3,3,98122,119896,109009.0,High (100K-150K),Lewisville,PW,Palau,Oceania,Automotive,Automotive & Transportation,Senior,Full-Time,Large,2024-12-18,2024,12,4,December
323,Salas Inc,Retail,AI Product Manager,"Excel, Keras, GCP, MLflow",Senior,Full-time,"West Veronica, CN",122419-186888,2024/10/1,Mid,"BigQuery, TensorFlow, FastAPI",Ai Product Manager,AI Product Manager,"['Excel', 'Keras', 'GCP', 'MLflow']","['BigQuery', 'TensorFlow', 'FastAPI']",4,3,122419,186888,154653.5,Very High (>150K),West Veronica,CN,China,Asia,Retail,Retail & E-commerce,Senior,Full-Time,Mid,2024-10-01,2024,10,4,October
324,Morrison-Patel,Education,AI Researcher,"Pandas, Excel, NumPy, LangChain",Senior,Internship,"South Brianfurt, VE",73317-167850,2025/1/1,Startup,"Scikit-learn, FastAPI",Ai Researcher,AI Researcher,"['Pandas', 'Excel', 'NumPy', 'LangChain']","['Scikit-learn', 'FastAPI']",4,2,73317,167850,120583.5,High (100K-150K),South Brianfurt,VE,Venezuela,South America,Education,Education,Senior,Internship,Startup,2025-01-01,2025,1,1,January
325,Moyer-Simpson,Healthcare,Data Scientist,"Pandas, FastAPI, Scikit-learn, AWS",Mid,Remote,"Lake Ricky, CF",52740-129282,2025/1/25,Mid,"MLflow, TensorFlow",Data Scientist,Data Scientist,"['Pandas', 'FastAPI', 'Scikit-learn', 'AWS']","['MLflow', 'TensorFlow']",4,2,52740,129282,91011.0,Mid (70K-100K),Lake Ricky,CF,Central African Republic,Africa,Healthcare,Healthcare,Mid,Remote,Mid,2025-01-25,2025,1,1,January
326,Jimenez PLC,Finance,AI Product Manager,"MLflow, Scikit-learn, Python, Reinforcement Learning, C++",Mid,Contract,"East Sandra, CR",130522-169280,2024/1/21,Mid,"FastAPI, Scikit-learn, MLflow",Ai Product Manager,AI Product Manager,"['MLflow', 'Scikit-learn', 'Python', 'Reinforcement Learning', 'C++']","['FastAPI', 'Scikit-learn', 'MLflow']",5,3,130522,169280,149901.0,High (100K-150K),East Sandra,CR,Costa Rica,Central America,Finance,Finance & Banking,Mid,Contract,Mid,2024-01-21,2024,1,1,January
327,Atkinson-Gonzales,Tech,NLP Engineer,"FastAPI, Azure, LangChain, GCP",Entry,Internship,"Jonathanland, LB",146948-163508,2024/7/30,Mid,KDB+,Nlp Engineer,NLP Engineer,"['FastAPI', 'Azure', 'LangChain', 'GCP']",['KDB+'],4,1,146948,163508,155228.0,Very High (>150K),Jonathanland,LB,Unknown,Other,Tech,Technology,Entry,Internship,Mid,2024-07-30,2024,7,3,July
328,Cook LLC,Tech,Quant Researcher,"Reinforcement Learning, Hugging Face, Scikit-learn, C++",Senior,Internship,"Erikastad, TJ",63681-156946,2025/4/17,Mid,MLflow,Quant Researcher,Quant Researcher,"['Reinforcement Learning', 'Hugging Face', 'Scikit-learn', 'C++']",['MLflow'],4,1,63681,156946,110313.5,High (100K-150K),Erikastad,TJ,Unknown,Other,Tech,Technology,Senior,Internship,Mid,2025-04-17,2025,4,2,April
329,Wagner Inc,Tech,Quant Researcher,"Azure, PyTorch, Keras",Mid,Full-time,"Lake Kelseystad, LB",102993-176878,2024/8/6,Mid,"TensorFlow, MLflow, FastAPI",Quant Researcher,Quant Researcher,"['Azure', 'PyTorch', 'Keras']","['TensorFlow', 'MLflow', 'FastAPI']",3,3,102993,176878,139935.5,High (100K-150K),Lake Kelseystad,LB,Unknown,Other,Tech,Technology,Mid,Full-Time,Mid,2024-08-06,2024,8,3,August
330,Galloway-Martinez,Tech,ML Engineer,"Pandas, FastAPI, TensorFlow, SQL",Senior,Full-time,"Michaelland, VC",146286-228405,2024/4/2,Large,MLflow,Ml Engineer,ML Engineer,"['Pandas', 'FastAPI', 'TensorFlow', 'SQL']",['MLflow'],4,1,146286,228405,187345.5,Very High (>150K),Michaelland,VC,Saint Vincent and the Grenadines,Caribbean,Tech,Technology,Senior,Full-Time,Large,2024-04-02,2024,4,2,April
331,Love-Rhodes,Retail,Data Scientist,"AWS, Power BI, R, NumPy, Scikit-learn, LangChain",Senior,Internship,"Port Elizabeth, CZ",55546-105329,2024/4/15,Startup,"KDB+, FastAPI, LangChain",Data Scientist,Data Scientist,"['AWS', 'Power BI', 'R', 'NumPy', 'Scikit-learn', 'LangChain']","['KDB+', 'FastAPI', 'LangChain']",6,3,55546,105329,80437.5,Mid (70K-100K),Port Elizabeth,CZ,Czech Republic,Europe,Retail,Retail & E-commerce,Senior,Internship,Startup,2024-04-15,2024,4,2,April
332,Stewart-Kennedy,E-commerce,Data Scientist,"C++, AWS, MLflow",Senior,Remote,"Lake Kathleenstad, TZ",84124-96081,2024/10/16,Startup,LangChain,Data Scientist,Data Scientist,"['C++', 'AWS', 'MLflow']",['LangChain'],3,1,84124,96081,90102.5,Mid (70K-100K),Lake Kathleenstad,TZ,Tanzania,Africa,E-Commerce,Retail & E-commerce,Senior,Remote,Startup,2024-10-16,2024,10,4,October
333,Sparks and Sons,Tech,NLP Engineer,"Flask, PyTorch, C++, Pandas, TensorFlow",Entry,Full-time,"North Emilymouth, FR",105170-188370,2023/11/19,Mid,"TensorFlow, KDB+",Nlp Engineer,NLP Engineer,"['Flask', 'PyTorch', 'C++', 'Pandas', 'TensorFlow']","['TensorFlow', 'KDB+']",5,2,105170,188370,146770.0,High (100K-150K),North Emilymouth,FR,France,Europe,Tech,Technology,Entry,Full-Time,Mid,2023-11-19,2023,11,4,November
334,White Inc,Healthcare,Computer Vision Engineer,"Azure, PyTorch, R, Reinforcement Learning, Flask, Keras",Mid,Full-time,"Port Robert, MV",55923-98036,2023/10/7,Mid,Scikit-learn,Computer Vision Engineer,Computer Vision Engineer,"['Azure', 'PyTorch', 'R', 'Reinforcement Learning', 'Flask', 'Keras']",['Scikit-learn'],6,1,55923,98036,76979.5,Mid (70K-100K),Port Robert,MV,Unknown,Other,Healthcare,Healthcare,Mid,Full-Time,Mid,2023-10-07,2023,10,4,October
335,Watson Ltd,E-commerce,AI Researcher,"Scikit-learn, R, TensorFlow, PyTorch",Senior,Full-time,"Port Justinfurt, MK",120230-164622,2025/2/5,Mid,"BigQuery, LangChain, MLflow",Ai Researcher,AI Researcher,"['Scikit-learn', 'R', 'TensorFlow', 'PyTorch']","['BigQuery', 'LangChain', 'MLflow']",4,3,120230,164622,142426.0,High (100K-150K),Port Justinfurt,MK,North Macedonia,Europe,E-Commerce,Retail & E-commerce,Senior,Full-Time,Mid,2025-02-05,2025,2,1,February
336,Clark-Bailey,Education,Data Analyst,"MLflow, Keras, C++, GCP, NumPy",Mid,Internship,"North Shelly, KZ",126208-174920,2025/6/22,Large,"BigQuery, TensorFlow",Data Analyst,Data Analyst,"['MLflow', 'Keras', 'C++', 'GCP', 'NumPy']","['BigQuery', 'TensorFlow']",5,2,126208,174920,150564.0,Very High (>150K),North Shelly,KZ,Kazakhstan,Asia,Education,Education,Mid,Internship,Large,2025-06-22,2025,6,2,June
337,Holland-Mcgee,Education,Quant Researcher,"GCP, Power BI, Python, Azure, Hugging Face, CUDA",Senior,Remote,"East Christiebury, LR",123659-207607,2024/9/28,Startup,"LangChain, Scikit-learn",Quant Researcher,Quant Researcher,"['GCP', 'Power BI', 'Python', 'Azure', 'Hugging Face', 'CUDA']","['LangChain', 'Scikit-learn']",6,2,123659,207607,165633.0,Very High (>150K),East Christiebury,LR,Liberia,Africa,Education,Education,Senior,Remote,Startup,2024-09-28,2024,9,3,September
338,"Cummings, Schmidt and Clarke",Tech,Data Scientist,"C++, Excel, MLflow, Pandas, R, NumPy",Mid,Contract,"Stevenmouth, AD",78431-154672,2025/4/22,Large,"PyTorch, BigQuery",Data Scientist,Data Scientist,"['C++', 'Excel', 'MLflow', 'Pandas', 'R', 'NumPy']","['PyTorch', 'BigQuery']",6,2,78431,154672,116551.5,High (100K-150K),Stevenmouth,AD,Andorra,Europe,Tech,Technology,Mid,Contract,Large,2025-04-22,2025,4,2,April
339,Hines-Mckinney,E-commerce,Computer Vision Engineer,"Keras, FastAPI, Power BI, MLflow",Mid,Contract,"Lake Christopher, FR",60552-139539,2025/3/10,Large,"MLflow, LangChain",Computer Vision Engineer,Computer Vision Engineer,"['Keras', 'FastAPI', 'Power BI', 'MLflow']","['MLflow', 'LangChain']",4,2,60552,139539,100045.5,High (100K-150K),Lake Christopher,FR,France,Europe,E-Commerce,Retail & E-commerce,Mid,Contract,Large,2025-03-10,2025,3,1,March
340,Graves and Sons,Healthcare,Data Scientist,"Excel, PyTorch, R, Power BI, Flask, Pandas",Senior,Internship,"West Sara, BB",131559-209584,2024/11/24,Startup,TensorFlow,Data Scientist,Data Scientist,"['Excel', 'PyTorch', 'R', 'Power BI', 'Flask', 'Pandas']",['TensorFlow'],6,1,131559,209584,170571.5,Very High (>150K),West Sara,BB,Barbados,Caribbean,Healthcare,Healthcare,Senior,Internship,Startup,2024-11-24,2024,11,4,November
341,Walker-Davis,Tech,Computer Vision Engineer,"Power BI, R, Scikit-learn",Mid,Internship,"Erinton, MH",122855-194503,2024/12/19,Large,"TensorFlow, MLflow, Scikit-learn",Computer Vision Engineer,Computer Vision Engineer,"['Power BI', 'R', 'Scikit-learn']","['TensorFlow', 'MLflow', 'Scikit-learn']",3,3,122855,194503,158679.0,Very High (>150K),Erinton,MH,Unknown,Other,Tech,Technology,Mid,Internship,Large,2024-12-19,2024,12,4,December
342,"Finley, Bruce and Wheeler",Healthcare,ML Engineer,"Excel, PyTorch, LangChain, Flask, GCP",Entry,Full-time,"West Donald, CG",58087-119465,2024/9/12,Mid,KDB+,Ml Engineer,ML Engineer,"['Excel', 'PyTorch', 'LangChain', 'Flask', 'GCP']",['KDB+'],5,1,58087,119465,88776.0,Mid (70K-100K),West Donald,CG,Unknown,Other,Healthcare,Healthcare,Entry,Full-Time,Mid,2024-09-12,2024,9,3,September
343,Simmons-Evans,Tech,AI Product Manager,"Power BI, Scikit-learn, R, Pandas",Entry,Remote,"Thompsonport, BH",60085-116808,2024/8/31,Startup,FastAPI,Ai Product Manager,AI Product Manager,"['Power BI', 'Scikit-learn', 'R', 'Pandas']",['FastAPI'],4,1,60085,116808,88446.5,Mid (70K-100K),Thompsonport,BH,Unknown,Other,Tech,Technology,Entry,Remote,Startup,2024-08-31,2024,8,3,August
344,Melton-Salazar,Education,Computer Vision Engineer,"Reinforcement Learning, Python, NumPy, LangChain",Entry,Internship,"Sanderston, KG",146409-165202,2025/2/2,Large,TensorFlow,Computer Vision Engineer,Computer Vision Engineer,"['Reinforcement Learning', 'Python', 'NumPy', 'LangChain']",['TensorFlow'],4,1,146409,165202,155805.5,Very High (>150K),Sanderston,KG,Kyrgyzstan,Asia,Education,Education,Entry,Internship,Large,2025-02-02,2025,2,1,February
345,"Anthony, Miller and Russell",E-commerce,Data Analyst,"TensorFlow, Keras, PyTorch, Reinforcement Learning",Senior,Internship,"East Linda, NZ",120234-139093,2024/6/9,Startup,"PyTorch, Scikit-learn",Data Analyst,Data Analyst,"['TensorFlow', 'Keras', 'PyTorch', 'Reinforcement Learning']","['PyTorch', 'Scikit-learn']",4,2,120234,139093,129663.5,High (100K-150K),East Linda,NZ,New Zealand,Oceania,E-Commerce,Retail & E-commerce,Senior,Internship,Startup,2024-06-09,2024,6,2,June
346,Young-Anderson,Education,AI Researcher,"NumPy, GCP, AWS, Python, Keras",Senior,Contract,"East Ryantown, BZ",104105-197396,2024/10/19,Startup,"Scikit-learn, TensorFlow, KDB+",Ai Researcher,AI Researcher,"['NumPy', 'GCP', 'AWS', 'Python', 'Keras']","['Scikit-learn', 'TensorFlow', 'KDB+']",5,3,104105,197396,150750.5,Very High (>150K),East Ryantown,BZ,Belize,Central America,Education,Education,Senior,Contract,Startup,2024-10-19,2024,10,4,October
347,"Conway, Hernandez and Perez",Finance,NLP Engineer,"MLflow, Power BI, Keras",Entry,Full-time,"Nunezside, TG",148487-177884,2023/11/18,Large,"PyTorch, TensorFlow, MLflow",Nlp Engineer,NLP Engineer,"['MLflow', 'Power BI', 'Keras']","['PyTorch', 'TensorFlow', 'MLflow']",3,3,148487,177884,163185.5,Very High (>150K),Nunezside,TG,Togo,Africa,Finance,Finance & Banking,Entry,Full-Time,Large,2023-11-18,2023,11,4,November
348,Anderson and Sons,Automotive,Quant Researcher,"TensorFlow, Power BI, Python, Keras, AWS",Senior,Internship,"Jadeview, BF",80455-100773,2023/11/30,Large,Scikit-learn,Quant Researcher,Quant Researcher,"['TensorFlow', 'Power BI', 'Python', 'Keras', 'AWS']",['Scikit-learn'],5,1,80455,100773,90614.0,Mid (70K-100K),Jadeview,BF,Burkina Faso,Africa,Automotive,Automotive & Transportation,Senior,Internship,Large,2023-11-30,2023,11,4,November
349,Ware-Ellis,Automotive,NLP Engineer,"SQL, MLflow, Power BI, FastAPI, NumPy",Senior,Full-time,"Leeview, MA",115657-181953,2024/10/13,Startup,"FastAPI, BigQuery, MLflow",Nlp Engineer,NLP Engineer,"['SQL', 'MLflow', 'Power BI', 'FastAPI', 'NumPy']","['FastAPI', 'BigQuery', 'MLflow']",5,3,115657,181953,148805.0,High (100K-150K),Leeview,MA,Morocco,Africa,Automotive,Automotive & Transportation,Senior,Full-Time,Startup,2024-10-13,2024,10,4,October
350,"Snyder, Simpson and Maxwell",Tech,AI Product Manager,"FastAPI, NumPy, C++, MLflow, GCP",Senior,Contract,"East Robert, CV",97381-144492,2024/1/16,Large,"Scikit-learn, MLflow",Ai Product Manager,AI Product Manager,"['FastAPI', 'NumPy', 'C++', 'MLflow', 'GCP']","['Scikit-learn', 'MLflow']",5,2,97381,144492,120936.5,High (100K-150K),East Robert,CV,Unknown,Other,Tech,Technology,Senior,Contract,Large,2024-01-16,2024,1,1,January
351,Ellis Ltd,Retail,AI Researcher,"SQL, Pandas, Power BI, FastAPI",Entry,Internship,"Bullockton, KP",55751-133772,2023/12/25,Startup,MLflow,Ai Researcher,AI Researcher,"['SQL', 'Pandas', 'Power BI', 'FastAPI']",['MLflow'],4,1,55751,133772,94761.5,Mid (70K-100K),Bullockton,KP,Unknown,Other,Retail,Retail & E-commerce,Entry,Internship,Startup,2023-12-25,2023,12,4,December
352,"Blair, Ruiz and Sanchez",Retail,Computer Vision Engineer,"FastAPI, Power BI, Azure, Python",Entry,Internship,"Perezview, SN",90552-188412,2025/7/23,Mid,"LangChain, KDB+",Computer Vision Engineer,Computer Vision Engineer,"['FastAPI', 'Power BI', 'Azure', 'Python']","['LangChain', 'KDB+']",4,2,90552,188412,139482.0,High (100K-150K),Perezview,SN,Senegal,Africa,Retail,Retail & E-commerce,Entry,Internship,Mid,2025-07-23,2025,7,3,July
353,Griffin-Dalton,Education,ML Engineer,"Python, PyTorch, Excel",Entry,Contract,"Knightmouth, AF",69230-128642,2024/1/2,Large,"LangChain, BigQuery, FastAPI",Ml Engineer,ML Engineer,"['Python', 'PyTorch', 'Excel']","['LangChain', 'BigQuery', 'FastAPI']",3,3,69230,128642,98936.0,Mid (70K-100K),Knightmouth,AF,Unknown,Other,Education,Education,Entry,Contract,Large,2024-01-02,2024,1,1,January
354,Alexander PLC,Automotive,Data Analyst,"LangChain, GCP, R, MLflow, Scikit-learn",Entry,Contract,"Lake Marcia, MT",71489-149503,2025/4/22,Mid,"KDB+, PyTorch",Data Analyst,Data Analyst,"['LangChain', 'GCP', 'R', 'MLflow', 'Scikit-learn']","['KDB+', 'PyTorch']",5,2,71489,149503,110496.0,High (100K-150K),Lake Marcia,MT,Unknown,Other,Automotive,Automotive & Transportation,Entry,Contract,Mid,2025-04-22,2025,4,2,April
355,"Velazquez, Brewer and Murphy",E-commerce,Quant Researcher,"C++, LangChain, Power BI, Pandas, CUDA, TensorFlow",Senior,Remote,"Mooreville, NP",57739-75267,2025/5/22,Startup,FastAPI,Quant Researcher,Quant Researcher,"['C++', 'LangChain', 'Power BI', 'Pandas', 'CUDA', 'TensorFlow']",['FastAPI'],6,1,57739,75267,66503.0,Low (<70K),Mooreville,NP,Unknown,Other,E-Commerce,Retail & E-commerce,Senior,Remote,Startup,2025-05-22,2025,5,2,May
356,Bean LLC,Education,Quant Researcher,"Excel, Power BI, Reinforcement Learning, SQL, NumPy",Senior,Internship,"Port Matthewhaven, ST",149192-228942,2025/9/12,Large,"PyTorch, TensorFlow, MLflow",Quant Researcher,Quant Researcher,"['Excel', 'Power BI', 'Reinforcement Learning', 'SQL', 'NumPy']","['PyTorch', 'TensorFlow', 'MLflow']",5,3,149192,228942,189067.0,Very High (>150K),Port Matthewhaven,ST,Unknown,Other,Education,Education,Senior,Internship,Large,2025-09-12,2025,9,3,September
357,Rogers-Villanueva,E-commerce,ML Engineer,"Flask, FastAPI, CUDA",Mid,Internship,"New Kenneth, DO",91346-160302,2024/6/9,Large,"TensorFlow, FastAPI",Ml Engineer,ML Engineer,"['Flask', 'FastAPI', 'CUDA']","['TensorFlow', 'FastAPI']",3,2,91346,160302,125824.0,High (100K-150K),New Kenneth,DO,Dominican Republic,Caribbean,E-Commerce,Retail & E-commerce,Mid,Internship,Large,2024-06-09,2024,6,2,June
358,Taylor PLC,Tech,Data Analyst,"Power BI, MLflow, TensorFlow, AWS, Hugging Face",Senior,Remote,"Schroederport, DK",56886-146884,2024/5/10,Mid,FastAPI,Data Analyst,Data Analyst,"['Power BI', 'MLflow', 'TensorFlow', 'AWS', 'Hugging Face']",['FastAPI'],5,1,56886,146884,101885.0,High (100K-150K),Schroederport,DK,Unknown,Other,Tech,Technology,Senior,Remote,Mid,2024-05-10,2024,5,2,May
359,Lee Group,Tech,Quant Researcher,"Python, Power BI, Scikit-learn, FastAPI, Excel, SQL",Entry,Full-time,"Taylorstad, MR",56258-108983,2024/12/18,Large,PyTorch,Quant Researcher,Quant Researcher,"['Python', 'Power BI', 'Scikit-learn', 'FastAPI', 'Excel', 'SQL']",['PyTorch'],6,1,56258,108983,82620.5,Mid (70K-100K),Taylorstad,MR,Mauritania,Africa,Tech,Technology,Entry,Full-Time,Large,2024-12-18,2024,12,4,December
360,"Miller, Browning and Shaw",Tech,AI Product Manager,"Reinforcement Learning, CUDA, NumPy",Senior,Full-time,"Bryanburgh, SK",139096-176960,2024/1/25,Large,MLflow,Ai Product Manager,AI Product Manager,"['Reinforcement Learning', 'CUDA', 'NumPy']",['MLflow'],3,1,139096,176960,158028.0,Very High (>150K),Bryanburgh,SK,Unknown,Other,Tech,Technology,Senior,Full-Time,Large,2024-01-25,2024,1,1,January
361,"Branch, Elliott and Ramirez",Automotive,NLP Engineer,"Power BI, Keras, TensorFlow, FastAPI",Entry,Remote,"New Micheletown, NZ",120316-133437,2025/8/21,Large,"MLflow, TensorFlow, FastAPI",Nlp Engineer,NLP Engineer,"['Power BI', 'Keras', 'TensorFlow', 'FastAPI']","['MLflow', 'TensorFlow', 'FastAPI']",4,3,120316,133437,126876.5,High (100K-150K),New Micheletown,NZ,New Zealand,Oceania,Automotive,Automotive & Transportation,Entry,Remote,Large,2025-08-21,2025,8,3,August
362,"Reyes, Vincent and Hayes",Finance,AI Product Manager,"Hugging Face, R, LangChain",Mid,Internship,"Kathleenton, IQ",48868-94542,2025/1/31,Large,FastAPI,Ai Product Manager,AI Product Manager,"['Hugging Face', 'R', 'LangChain']",['FastAPI'],3,1,48868,94542,71705.0,Mid (70K-100K),Kathleenton,IQ,Iraq,Asia,Finance,Finance & Banking,Mid,Internship,Large,2025-01-31,2025,1,1,January
363,Rose Ltd,Finance,NLP Engineer,"Pandas, CUDA, AWS, TensorFlow, Python",Entry,Full-time,"South Brianmouth, JM",108994-183026,2025/8/13,Mid,"MLflow, FastAPI, BigQuery",Nlp Engineer,NLP Engineer,"['Pandas', 'CUDA', 'AWS', 'TensorFlow', 'Python']","['MLflow', 'FastAPI', 'BigQuery']",5,3,108994,183026,146010.0,High (100K-150K),South Brianmouth,JM,Jamaica,Caribbean,Finance,Finance & Banking,Entry,Full-Time,Mid,2025-08-13,2025,8,3,August
364,Miller-Bishop,Healthcare,AI Product Manager,"Hugging Face, GCP, Excel, NumPy",Senior,Remote,"West Stephaniefort, FR",118921-192736,2024/12/2,Large,"LangChain, FastAPI",Ai Product Manager,AI Product Manager,"['Hugging Face', 'GCP', 'Excel', 'NumPy']","['LangChain', 'FastAPI']",4,2,118921,192736,155828.5,Very High (>150K),West Stephaniefort,FR,France,Europe,Healthcare,Healthcare,Senior,Remote,Large,2024-12-02,2024,12,4,December
365,Krueger-Tanner,E-commerce,AI Product Manager,"LangChain, Reinforcement Learning, FastAPI, Power BI, AWS",Entry,Internship,"Port Rebecca, US",57113-75630,2024/3/25,Mid,"KDB+, TensorFlow, PyTorch",Ai Product Manager,AI Product Manager,"['LangChain', 'Reinforcement Learning', 'FastAPI', 'Power BI', 'AWS']","['KDB+', 'TensorFlow', 'PyTorch']",5,3,57113,75630,66371.5,Low (<70K),Port Rebecca,US,United States,North America,E-Commerce,Retail & E-commerce,Entry,Internship,Mid,2024-03-25,2024,3,1,March
366,"Johnson, Castaneda and Duke",Tech,AI Product Manager,"CUDA, FastAPI, Python",Mid,Full-time,"Powellshire, JM",70702-164914,2025/5/12,Startup,"MLflow, PyTorch",Ai Product Manager,AI Product Manager,"['CUDA', 'FastAPI', 'Python']","['MLflow', 'PyTorch']",3,2,70702,164914,117808.0,High (100K-150K),Powellshire,JM,Jamaica,Caribbean,Tech,Technology,Mid,Full-Time,Startup,2025-05-12,2025,5,2,May
367,"Riley, Beltran and Lucero",E-commerce,Data Analyst,"Flask, TensorFlow, Scikit-learn, MLflow",Entry,Full-time,"North Natalie, EC",114639-183492,2025/6/9,Startup,LangChain,Data Analyst,Data Analyst,"['Flask', 'TensorFlow', 'Scikit-learn', 'MLflow']",['LangChain'],4,1,114639,183492,149065.5,High (100K-150K),North Natalie,EC,Unknown,Other,E-Commerce,Retail & E-commerce,Entry,Full-Time,Startup,2025-06-09,2025,6,2,June
368,Perez-Williams,Healthcare,AI Product Manager,"Scikit-learn, SQL, GCP, Hugging Face",Senior,Contract,"West Denisetown, VU",110697-201149,2024/6/4,Mid,MLflow,Ai Product Manager,AI Product Manager,"['Scikit-learn', 'SQL', 'GCP', 'Hugging Face']",['MLflow'],4,1,110697,201149,155923.0,Very High (>150K),West Denisetown,VU,Vanuatu,Oceania,Healthcare,Healthcare,Senior,Contract,Mid,2024-06-04,2024,6,2,June
369,Silva-Russell,Retail,Data Analyst,"Reinforcement Learning, MLflow, PyTorch, LangChain, Hugging Face, AWS",Senior,Remote,"Petersonchester, UG",68664-136603,2024/9/13,Mid,"TensorFlow, PyTorch",Data Analyst,Data Analyst,"['Reinforcement Learning', 'MLflow', 'PyTorch', 'LangChain', 'Hugging Face', 'AWS']","['TensorFlow', 'PyTorch']",6,2,68664,136603,102633.5,High (100K-150K),Petersonchester,UG,Uganda,Africa,Retail,Retail & E-commerce,Senior,Remote,Mid,2024-09-13,2024,9,3,September
370,"Matthews, Bailey and Banks",Education,NLP Engineer,"R, Python, PyTorch, CUDA",Entry,Remote,"Daughertyborough, SA",64445-150617,2024/9/8,Large,"KDB+, PyTorch, FastAPI",Nlp Engineer,NLP Engineer,"['R', 'Python', 'PyTorch', 'CUDA']","['KDB+', 'PyTorch', 'FastAPI']",4,3,64445,150617,107531.0,High (100K-150K),Daughertyborough,SA,Saudi Arabia,Middle East,Education,Education,Entry,Remote,Large,2024-09-08,2024,9,3,September
371,Santiago-King,Education,Quant Researcher,"MLflow, Keras, TensorFlow, CUDA, Flask",Entry,Remote,"Lake Linda, AT",74954-114010,2024/10/12,Mid,"Scikit-learn, PyTorch",Quant Researcher,Quant Researcher,"['MLflow', 'Keras', 'TensorFlow', 'CUDA', 'Flask']","['Scikit-learn', 'PyTorch']",5,2,74954,114010,94482.0,Mid (70K-100K),Lake Linda,AT,Unknown,Other,Education,Education,Entry,Remote,Mid,2024-10-12,2024,10,4,October
372,"Caldwell, Richardson and Hines",Retail,AI Researcher,"CUDA, Power BI, Hugging Face, Pandas, MLflow",Senior,Internship,"North Jesusfurt, AL",83014-110116,2025/4/7,Large,KDB+,Ai Researcher,AI Researcher,"['CUDA', 'Power BI', 'Hugging Face', 'Pandas', 'MLflow']",['KDB+'],5,1,83014,110116,96565.0,Mid (70K-100K),North Jesusfurt,AL,Unknown,Other,Retail,Retail & E-commerce,Senior,Internship,Large,2025-04-07,2025,4,2,April
373,"Washington, Smith and Hicks",Automotive,ML Engineer,"Flask, PyTorch, Reinforcement Learning, MLflow",Senior,Contract,"West Regina, AG",146097-192440,2024/8/22,Startup,"LangChain, PyTorch",Ml Engineer,ML Engineer,"['Flask', 'PyTorch', 'Reinforcement Learning', 'MLflow']","['LangChain', 'PyTorch']",4,2,146097,192440,169268.5,Very High (>150K),West Regina,AG,Antigua and Barbuda,Caribbean,Automotive,Automotive & Transportation,Senior,Contract,Startup,2024-08-22,2024,8,3,August
